Date, TimeImage, TimeMODIS, Luminance, COT, ClearSkyRadiationForTimeImage , ClearSkyLuminanceForTimeImage 
2015-09-18 14:25:00,2015-09-18 14:36:01,2015-09-18 14:25:00,308597.808387,8.06,930.358883604,385182.04969
2015-09-20 14:10:00,2015-09-20 14:36:00,2015-09-20 14:10:00,630871.933113,14.2289,950.853547509,394307.011358
2015-09-22 14:00:00,2015-09-22 14:36:00,2015-09-22 14:00:00,434714.807269,6.082,958.720810914,397809.800051
2015-09-23 14:40:00,2015-09-23 14:36:01,2015-09-23 14:40:00,374863.73648,4.9633,896.289953579,370013.336411
2015-09-24 15:25:00,2015-09-24 15:54:01,2015-09-24 15:25:00,275190.55497,10.2887,775.258186262,316125.639476
2015-09-25 14:30:00,2015-09-25 14:36:01,2015-09-25 14:30:00,393926.581048,6.63,916.863131201,379173.25521
2015-09-26 15:15:00,2015-09-26 15:54:01,2015-09-26 15:15:00,323381.616837,1.695,804.350956931,329078.787592
2015-09-27 14:20:00,2015-09-27 14:36:01,2015-09-27 14:20:00,269155.879125,6.3544,935.282063173,387374.026346
2015-09-29 14:05:00,2015-09-29 14:56:01,2015-09-29 14:05:00,375244.156374,6.1567,953.610035783,395534.299102
2015-10-13 14:15:00,2015-10-13 14:51:01,2015-10-13 14:15:00,57968.6197525,4.1811,938.764809491,388924.670299
2015-10-20 14:25:00,2015-10-20 14:20:01,2015-10-20 14:25:00,58722.0134681,4.3356,917.71595767,379552.964234
2015-10-22 14:10:00,2015-10-22 14:58:00,2015-10-22 14:10:00,54844.0227211,4.765,930.303176839,385157.247034
2015-10-24 14:00:00,2015-10-24 14:58:01,2015-10-24 14:00:00,24205.0927983,10.3267,933.395820085,386534.203065
2015-10-25 14:40:00,2015-10-25 14:58:00,2015-10-25 14:40:00,20305.4281328,6.5144,863.022733168,355201.573094
2015-10-27 14:30:00,2015-10-27 14:58:01,2015-10-27 14:30:00,45372.6140346,6.1522,896.496335944,370105.225264
2015-10-28 15:15:00,2015-10-28 15:58:00,2015-10-28 15:15:00,39549.9839905,4.53,763.794006786,311021.374348
2015-10-29 14:15:00,2015-10-29 14:58:01,2015-10-29 14:15:00,45124.892595,21.4467,920.213196687,380664.824883
2015-10-31 14:05:00,2015-10-31 14:56:00,2015-10-31 14:05:00,45139.6922174,8.8489,919.695006225,380434.107847
2015-11-01 14:50:00,2015-11-01 14:58:01,2015-11-01 14:50:00,15094.2919186,61.8989,836.200567504,343259.380011
2015-11-03 14:35:00,2015-11-03 14:58:00,2015-11-03 14:35:00,52117.6198162,3.9056,863.125573238,355247.361192
2015-11-04 15:20:00,2015-11-04 15:34:00,2015-11-04 15:20:00,43138.2372788,6.7178,736.103943938,298692.762216
2015-11-05 14:25:00,2015-11-05 14:58:00,2015-11-05 14:25:00,70635.6238472,3.4029,896.33361018,370032.7739
2015-11-07 14:10:00,2015-11-07 14:58:01,2015-11-07 14:10:00,12082.5760156,14.8733,909.458441203,375876.420838
2015-11-09 14:00:00,2015-11-09 14:52:01,2015-11-09 14:00:00,58297.2380478,4.0722,908.912107343,375633.17335
2015-11-10 14:40:00,2015-11-10 14:58:01,2015-11-10 14:40:00,19766.9953979,4.865,842.631560642,346122.689511
2015-11-11 15:25:00,2015-11-11 15:42:00,2015-11-11 15:25:00,1167.85219161,53.8189,713.002787031,288407.296096
2015-11-12 14:30:00,2015-11-12 14:58:00,2015-11-12 14:30:00,55882.2328115,2.5429,875.550446892,360779.361929
2015-11-13 15:15:00,2015-11-13 15:56:00,2015-11-13 15:15:00,35408.7023804,3.85,743.065049771,301792.09696
2015-11-14 14:15:00,2015-11-14 14:58:00,2015-11-14 14:15:00,50526.3516436,3.2522,899.816435874,371583.453194
2015-11-16 14:05:00,2015-11-16 14:38:00,2015-11-16 14:05:00,15611.7063807,21.07,900.023020537,371675.432118
2015-11-17 14:50:00,2015-11-17 14:34:00,2015-11-17 14:50:00,35866.3104216,6.9411,818.800845819,335512.39796
2015-11-19 14:35:00,2015-11-19 14:44:00,2015-11-19 14:35:00,10036.7052573,61.4889,843.725542419,346609.769554
2015-11-20 15:20:00,2015-11-20 15:46:00,2015-11-20 15:20:00,2491.25989669,3.1978,723.209328814,292951.615679
2015-11-21 14:25:00,2015-11-21 14:58:01,2015-11-21 14:25:00,49611.0461284,3.3422,879.393655899,362490.496839
2015-11-23 14:10:00,2015-11-23 14:58:01,2015-11-23 14:10:00,54617.492419,2.2943,892.504541613,368327.934823
2015-11-26 14:40:00,2015-11-26 14:15:00,2015-11-26 14:40:00,12557.9131396,14.7389,830.113524691,340549.209569
2015-11-27 15:25:00,2015-11-27 15:56:01,2015-11-27 15:25:00,21851.1372409,2.028,709.365035349,286787.638178
