DayNumber,Date,Time,COT
151,2015-5-31,14:10,15.2878
152,2015-6-1,14:55,-99.0
153,2015-6-2,14:00,4.9178
154,2015-6-3,14:40,1.0867
155,2015-6-4,15:25,2.7411
156,2015-6-5,14:30,3.6378
157,2015-6-6,15:15,12.0875
158,2015-6-7,14:20,3.7783
159,2015-6-8,15:00,-99.0
160,2015-6-9,14:05,3.2178
161,2015-6-10,14:50,-99.0
162,2015-6-11,15:30,4.0567
163,2015-6-12,14:35,25.34
164,2015-6-13,15:20,14.5456
165,2015-6-14,14:25,14.4478
166,2015-6-15,15:05,-99.0
167,2015-6-16,14:10,6.7378
168,2015-6-17,14:55,-99.0
169,2015-6-18,15:35,3.74
170,2015-6-19,14:40,3.0922
171,2015-6-20,15:25,1.36
172,2015-6-21,14:30,3.1211
173,2015-6-22,15:15,-99.0
174,2015-6-23,14:20,-99.0
175,2015-6-24,15:00,-99.0
176,2015-6-25,14:05,5.6
177,2015-6-26,14:50,4.0589
178,2015-6-27,15:30,-99.0
179,2015-6-28,14:35,3.3389
180,2015-6-29,15:20,3.3233
181,2015-6-30,14:25,-99.0
182,2015-7-1,15:05,-99.0
183,2015-7-2,14:10,3.74
184,2015-7-3,14:55,-99.0
185,2015-7-4,15:35,9.3511
186,2015-7-5,14:40,4.9856
187,2015-7-6,15:25,2.2456
188,2015-7-7,14:30,8.102
189,2015-7-8,15:15,3.545
190,2015-7-9,14:20,6.0812
191,2015-7-10,15:00,-99.0
192,2015-7-11,14:05,3.8822
193,2015-7-12,14:50,1.1367
194,2015-7-13,15:30,3.36
195,2015-7-14,14:35,4.1078
196,2015-7-15,15:20,1.7914
197,2015-7-16,14:25,2.5525
198,2015-7-17,15:05,-99.0
199,2015-7-18,14:10,6.0587
200,2015-7-19,14:55,-99.0
201,2015-7-20,15:35,1.5
202,2015-7-21,14:45,4.8989
203,2015-7-22,15:25,4.3433
204,2015-7-23,14:30,8.0462
205,2015-7-24,15:15,-99.0
206,2015-7-25,14:20,-99.0
207,2015-7-26,15:00,-99.0
208,2015-7-27,14:05,8.4611
209,2015-7-28,14:50,24.4689
210,2015-7-29,15:30,4.044
211,2015-7-30,14:35,64.8156
212,2015-7-31,15:20,11.135
213,2015-8-1,14:25,9.2689
214,2015-8-2,15:05,-99.0
215,2015-8-3,14:10,13.3678
216,2015-8-4,14:55,-99.0
217,2015-8-5,15:35,7.0456
218,2015-8-6,14:45,106.2033
219,2015-8-7,15:25,33.7956
220,2015-8-8,14:30,7.2789
221,2015-8-9,15:15,4.6333
222,2015-8-10,14:20,3.3533
223,2015-8-11,15:00,-99.0
224,2015-8-12,14:05,28.9511
